delivery_person_id,city_code,restaurant_num,rider_num
DEHRES17DEL01,DEH,17,1
KOCRES16DEL01,KOC,16,1
PUNERES13DEL03,PUNE,13,3
LUDHRES15DEL02,LUDH,15,2
KNPRES14DEL02,KNP,14,2
MUMRES15DEL03,MUM,15,3
MYSRES01DEL01,MYS,1,1
PUNERES20DEL01,PUNE,20,1
HYDRES14DEL01,HYD,14,1
KOLRES15DEL03,KOL,15,3
PUNERES19DEL02,PUNE,19,2
RANCHIRES06DEL02,RANCHI,6,2
COIMBRES13DEL01,COIMB,13,1
CHENRES19DEL02,CHEN,19,2
MUMRES02DEL01,MUM,2,1
CHENRES01DEL01,CHEN,1,1
JAPRES16DEL03,JAP,16,3
SURRES15DEL03,SUR,15,3
BANGRES09DEL03,BANG,9,3
PUNERES04DEL01,PUNE,4,1
COIMBRES02DEL03,COIMB,2,3
SURRES16DEL02,SUR,16,2
GOARES15DEL02,GOA,15,2
GOARES07DEL01,GOA,7,1
RANCHIRES02DEL01,RANCHI,2,1
PUNERES02DEL01,PUNE,2,1
PUNERES18DEL01,PUNE,18,1
SURRES08DEL01,SUR,8,1
HYDRES17DEL02,HYD,17,2
BANGRES17DEL02,BANG,17,2
BANGRES17DEL01,BANG,17,1
CHENRES11DEL01,CHEN,11,1
MUMRES17DEL02,MUM,17,2
SURRES17DEL03,SUR,17,3
MUMRES07DEL01,MUM,7,1
KOLRES16DEL02,KOL,16,2
MUMRES02DEL03,MUM,2,3
BANGRES05DEL03,BANG,5,3
SURRES09DEL01,SUR,9,1
RANCHIRES15DEL01,RANCHI,15,1
BANGRES19DEL01,BANG,19,1
AURGRES20DEL03,AURG,20,3
COIMBRES14DEL02,COIMB,14,2
SURRES08DEL03,SUR,8,3
COIMBRES07DEL03,COIMB,7,3
AGRRES12DEL03,AGR,12,3
VADRES02DEL02,VAD,2,2
JAPRES14DEL01,JAP,14,1
VADRES04DEL03,VAD,4,3
JAPRES18DEL02,JAP,18,2
MYSRES04DEL03,MYS,4,3
SURRES12DEL01,SUR,12,1
MUMRES04DEL01,MUM,4,1
ALHRES07DEL02,ALH,7,2
DEHRES19DEL02,DEH,19,2
VADRES16DEL02,VAD,16,2
VADRES09DEL01,VAD,9,1
CHENRES12DEL03,CHEN,12,3
SURRES11DEL01,SUR,11,1
SURRES01DEL01,SUR,1,1
VADRES15DEL02,VAD,15,2
MYSRES14DEL02,MYS,14,2
BANGRES13DEL01,BANG,13,1
HYDRES13DEL03,HYD,13,3
BHPRES12DEL02,BHP,12,2
CHENRES11DEL03,CHEN,11,3
BANGRES010DEL03,BANG,10,3
VADRES20DEL01,VAD,20,1
BANGRES11DEL01,BANG,11,1
DEHRES01DEL01,DEH,1,1
CHENRES02DEL01,CHEN,2,1
JAPRES03DEL02,JAP,3,2
HYDRES04DEL03,HYD,4,3
PUNERES14DEL02,PUNE,14,2
GOARES04DEL01,GOA,4,1
AURGRES08DEL02,AURG,8,2
BANGRES12DEL01,BANG,12,1
HYDRES05DEL01,HYD,5,1
RANCHIRES17DEL01,RANCHI,17,1
AGRRES010DEL01,AGR,10,1
INDORES12DEL02,INDO,12,2
JAPRES15DEL03,JAP,15,3
SURRES16DEL01,SUR,16,1
MYSRES16DEL02,MYS,16,2
MUMRES05DEL03,MUM,5,3
COIMBRES19DEL02,COIMB,19,2
MYSRES07DEL01,MYS,7,1
PUNERES17DEL01,PUNE,17,1
HYDRES19DEL03,HYD,19,3
MUMRES14DEL02,MUM,14,2
COIMBRES02DEL01,COIMB,2,1
INDORES05DEL02,INDO,5,2
BANGRES03DEL03,BANG,3,3
MUMRES11DEL01,MUM,11,1
MYSRES12DEL02,MYS,12,2
SURRES09DEL02,SUR,9,2
COIMBRES12DEL02,COIMB,12,2
KNPRES05DEL02,KNP,5,2
SURRES05DEL02,SUR,5,2
MUMRES15DEL01,MUM,15,1
BANGRES15DEL02,BANG,15,2
RANCHIRES11DEL03,RANCHI,11,3
MYSRES08DEL01,MYS,8,1
RANCHIRES07DEL02,RANCHI,7,2
RANCHIRES01DEL03,RANCHI,1,3
JAPRES17DEL03,JAP,17,3
VADRES06DEL01,VAD,6,1
INDORES14DEL01,INDO,14,1
COIMBRES17DEL01,COIMB,17,1
KNPRES17DEL02,KNP,17,2
RANCHIRES04DEL01,RANCHI,4,1
KOLRES17DEL03,KOL,17,3
BANGRES19DEL02,BANG,19,2
MUMRES17DEL01,MUM,17,1
SURRES14DEL01,SUR,14,1
VADRES14DEL03,VAD,14,3
PUNERES09DEL02,PUNE,9,2
INDORES19DEL02,INDO,19,2
BANGRES12DEL02,BANG,12,2
VADRES04DEL01,VAD,4,1
BANGRES11DEL03,BANG,11,3
COIMBRES13DEL03,COIMB,13,3
PUNERES05DEL03,PUNE,5,3
CHENRES19DEL01,CHEN,19,1
HYDRES02DEL03,HYD,2,3
SURRES010DEL02,SUR,10,2
SURRES03DEL01,SUR,3,1
COIMBRES17DEL03,COIMB,17,3
VADRES08DEL01,VAD,8,1
MUMRES08DEL01,MUM,8,1
VADRES18DEL01,VAD,18,1
BANGRES04DEL03,BANG,4,3
RANCHIRES12DEL02,RANCHI,12,2
MYSRES13DEL01,MYS,13,1
COIMBRES03DEL02,COIMB,3,2
KOLRES04DEL03,KOL,4,3
